SRC,MULT,VBAT,VPOW
13.980, 13.972, 2837.400, 2839.500
13.990, 13.986, 2841.000, 2842.000
14.000, 13.994, 2841.700, 2843.900
14.010, 14.002, 2842.600, 2845.300
14.020, 14.014, 2843.600, 2849.300
14.030, 14.022, 2848.800, 2850.500
14.040, 14.035, 2852.400, 2852.700
14.050, 14.044, 2852.500, 2854.000
14.060, 14.055, 2855.400, 2855.800
14.070, 14.063, 2855.400, 2858.800
14.080, 14.071, 2857.300, 2861.800
14.090, 14.084, 2860.500, 2862.600
14.100, 14.093, 2862.200, 2865.100
14.110, 14.104, 2864.200, 2867.400
14.120, 14.113, 2865.900, 2868.600
14.130, 14.126, 2867.700, 2871.600
14.140, 14.133, 2868.200, 2873.800
14.150, 14.143, 2871.900, 2875.600
14.160, 14.153, 2875.300, 2877.900
14.170, 14.162, 2876.600, 2878.800
14.180, 14.175, 2879.100, 2880.000
14.190, 14.183, 2880.200, 2880.700
14.200, 14.192, 2880.600, 2881.300
14.210, 14.203, 2882.100, 2883.600
14.220, 14.212, 2884.200, 2885.400
14.230, 14.225, 2885.200, 2886.600
14.240, 14.233, 2885.800, 2887.000
14.250, 14.245, 2886.000, 2888.700
14.260, 14.253, 2887.700, 2891.400
14.270, 14.261, 2887.900, 2896.800
14.280, 14.261, 2887.500, 2900.200
14.290, 14.283, 2899.700, 2902.600
14.300, 14.294, 2901.800, 2904.700
14.310, 14.302, 2901.400, 2906.500
14.320, 14.316, 2906.100, 2911.400
14.330, 14.324, 2909.200, 2914.400
14.340, 14.332, 2910.500, 2914.700
14.350, 14.346, 2913.400, 2917.200
14.360, 14.354, 2915.700, 2918.600
14.370, 14.367, 2917.200, 2920.500
14.380, 14.376, 2918.800, 2923.700
14.390, 14.384, 2921.500, 2927.300
14.400, 14.396, 2924.800, 2931.300
14.410, 14.403, 2927.400, 2934.900
14.420, 14.417, 2930.200, 2935.000
14.430, 14.425, 2931.800, 2937.000
14.440, 14.436, 2933.100, 2937.600
14.450, 14.445, 2933.200, 2938.900
14.460, 14.453, 2933.800, 2939.700
14.470, 14.466, 2938.500, 2942.000
14.480, 14.476, 2939.400, 2943.500
14.490, 14.486, 2943.500, 2945.600
14.500, 14.495, 2944.500, 2947.100
14.510, 14.508, 2946.400, 2951.400
14.520, 14.516, 2950.100, 2952.700
14.530, 14.525, 2952.400, 2955.200
14.540, 14.536, 2953.600, 2956.700
14.550, 14.545, 2956.200, 2958.300
14.560, 14.558, 2958.300, 2959.600
14.570, 14.566, 2958.700, 2964.100
14.580, 14.574, 2962.700, 2965.200
14.590, 14.585, 2963.100, 2966.300
